"time_s","state","frame_valid","cn0_valid","cn0_method","cn0_db_hz","truth_cn0_db_hz","pli","pll_enabled","pll_control_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","PullIn","1","0","M2M4","0.00000000","40.00000000","0.36835415","0","0.00000000","0","1","4468.75000000","4500.00092360","-31.25092360","201.07717391","200.78260878","0.29456514"
"1.00000000","PullIn","1","1","M2M4","39.18897263","40.00000000","0.14762032","0","0.00000000","1","1","4506.43545077","4500.04616798","6.38928280","239.10391547","239.13063554","-0.02672007"
"2.00000000","Lock","1","0","NWPR","0.00000000","40.00000000","0.24450441","1","-2.92117879","1","1","4499.86535407","4500.09226423","-0.22691016","278.26136278","278.26167228","-0.00030950"
"3.00000000","Strong","1","1","NWPR","39.48529925","40.00000000","0.47694299","1","-0.03214798","1","1","4500.16217841","4500.13821723","0.02396118","317.38222742","317.39310928","-0.01088186"
"4.00000000","Strong","1","1","NWPR","39.44142625","40.00000000","0.67412579","1","-0.17529448","1","1","4500.09983877","4500.18395585","-0.08411708","356.50657221","356.52494500","-0.01837279"
"5.00000000","Strong","1","1","NWPR","39.40702709","40.00000000","0.86660022","1","-0.14333097","1","1","4500.13112480","4500.22940952","-0.09828472","395.63429274","395.65717726","-0.02288451"
"6.00000000","Strong","1","1","NWPR","39.29658088","40.00000000","0.94439649","1","0.06407335","1","1","4500.33238398","4500.27450850","0.05787548","434.76359124","434.78980327","-0.02621203"
"7.00000000","Strong","1","1","NWPR","39.43109674","40.00000000","0.97268900","1","0.13327476","1","1","4500.42649280","4500.31918397","0.10730882","473.89506876","473.92281965","-0.02775089"
"8.00000000","Strong","1","1","NWPR","39.42585644","40.00000000","0.98308749","1","-0.08668226","1","1","4500.24666419","4500.36336832","-0.11670413","513.02831517","513.05622244","-0.02790727"
"9.00000000","Strong","1","1","NWPR","39.35543969","40.00000000","0.98417404","1","-0.04351030","1","1","4500.35883768","4500.40699525","-0.04815757","552.16541151","552.19000705","-0.02459554"
"10.00000000","Strong","1","1","NWPR","39.23341298","40.00000000","0.98598294","1","0.05293298","1","1","4500.52098639","4500.45000000","0.07098639","591.29896280","591.32416838","-0.02520558"
"11.00000000","Strong","1","1","NWPR","39.12490552","40.00000000","0.98771149","1","-0.01343836","1","1","4500.48739715","4500.49231952","-0.00492237","630.43339151","630.45870072","-0.02530920"
"12.00000000","Strong","1","1","NWPR","39.24628895","40.00000000","0.98984157","1","0.03589087","1","1","4500.57516640","4500.53389263","0.04127377","669.57380880","669.59359786","-0.01978906"
"13.00000000","Strong","1","1","NWPR","39.24995066","40.00000000","0.98562856","1","-0.15112019","1","1","4500.41579023","4500.57466020","-0.15886997","708.71002168","708.72885304","-0.01883136"
"14.00000000","Strong","1","1","NWPR","39.14993301","40.00000000","0.98526489","1","0.02029038","1","1","4500.62942755","4500.61456530","0.01486224","747.84767020","747.86445901","-0.01678881"
