"time_s","state","frame_valid","cn0_valid","cn0_db_hz","truth_cn0_db_hz","fll_locked","dll_locked","doppler_hz","truth_doppler_hz","doppler_error_hz","carrier_rate_hz_s","truth_doppler_rate_hz_s","tracked_code_phase_chips","truth_code_phase_chips","code_phase_error_chips"
"0.02000000","PullIn","1","0","0.00000000","40.00000000","0","0","4437.50000000","4500.00092360","-62.50092360","0.00000000","0.04618032","200.35762987","200.05844156","0.29918831"
"1.00000000","PullIn","1","1","39.39420468","40.00000000","1","1","4501.40047576","4500.04617798","1.35429778","0.19792849","0.04616406","202.90348768","202.92209292","-0.01860523"
"2.00000000","Lock","1","0","0.00000000","40.00000000","1","1","4500.14059444","4500.09230423","0.04829021","0.29237148","0.04607652","205.85793170","205.84421580","0.01371590"
"3.00000000","Lock","1","1","39.56216747","40.00000000","1","1","4499.99164167","4500.13830723","-0.14666556","0.07784838","0.04591762","208.76871490","208.76636861","0.00234630"
"4.00000000","Lock","1","1","39.62650888","40.00000000","1","1","4500.18174835","4500.18411585","-0.00236749","0.07965759","0.04568784","211.68089013","211.68855123","-0.00766110"
"5.00000000","Lock","1","1","39.69355146","40.00000000","1","1","4500.25064853","4500.22965952","0.02098901","0.07065512","0.04538788","214.61033826","214.61076351","-0.00042525"
"6.00000000","Lock","1","1","39.63093341","40.00000000","1","1","4500.27381898","4500.27486850","-0.00104952","0.05022807","0.04501860","217.54161346","217.53300526","0.00860820"
"7.00000000","Strong","1","1","39.68265911","40.00000000","1","1","4500.33172615","4500.31967397","0.01205218","0.05705782","0.04458108","220.45482974","220.45527624","-0.00044650"
"8.00000000","Strong","1","1","39.53773113","40.00000000","1","1","4500.37635366","4500.36400832","0.01234534","0.05337057","0.04407656","223.37631646","223.37757616","-0.00125970"
"9.00000000","Strong","1","1","39.53371534","40.00000000","1","1","4500.41516670","4500.40780525","0.00736146","0.04987727","0.04350650","226.29541414","226.29990470","-0.00449056"
"10.00000000","Strong","1","1","39.64066483","40.00000000","1","1","4500.47443953","4500.45100000","0.02343953","0.05330787","0.04287249","229.21779672","229.22226149","-0.00446477"
"11.00000000","Strong","1","1","39.64436609","40.00000000","1","1","4500.50976825","4500.49352952","0.01623874","0.04983641","0.04217634","232.14009787","232.14464612","-0.00454825"
"12.00000000","Strong","1","1","39.61382832","40.00000000","1","1","4500.53010986","4500.53533263","-0.00522277","0.04233668","0.04142002","235.06180930","235.06705813","-0.00524883"
"13.00000000","Strong","1","1","39.67471915","40.00000000","1","1","4500.58944676","4500.57635020","0.01309657","0.04694896","0.04060563","237.98577590","237.98949703","-0.00372113"
"14.00000000","Strong","1","1","39.71063644","40.00000000","1","1","4500.59626677","4500.61652530","-0.02025853","0.03642178","0.03973549","240.90672518","240.91196229","-0.00523712"
"15.00000000","Strong","1","1","39.61801599","40.00000000","1","1","4500.64327467","4500.65580339","-0.01252872","0.03781407","0.03881201","243.83096216","243.83445336","-0.00349120"
"16.00000000","Strong","1","1","39.66600223","40.00000000","1","1","4500.70427105","4500.69413241","0.01013864","0.04366970","0.03783780","246.75542355","246.75696963","-0.00154607"
"17.00000000","Strong","1","1","39.68350905","40.00000000","1","1","4500.73541029","4500.73146298","0.00394731","0.04043205","0.03681557","249.67737533","249.67951046","-0.00213513"
"18.00000000","Strong","1","1","39.57560590","40.00000000","1","1","4500.77043174","4500.76774850","0.00268325","0.03934049","0.03574818","252.59910216","252.60207520","-0.00297303"
"19.00000000","Strong","1","1","39.62146246","40.00000000","1","1","4500.80470696","4500.80294528","0.00176167","0.03809983","0.03463862","255.51990226","255.52466314","-0.00476088"
"20.00000000","Strong","1","1","39.65050219","40.00000000","1","1","4500.81761917","4500.83701270","-0.01939354","0.03102863","0.03348997","258.44261017","258.44727358","-0.00466341"
"21.00000000","Strong","1","1","39.67759035","40.00000000","1","1","4500.86938486","4500.86991326","-0.00052840","0.03549702","0.03230544","261.36692631","261.36990576","-0.00297945"
"22.00000000","Strong","1","1","39.54308410","40.00000000","1","1","4500.89142732","4500.90161273","-0.01018541","0.03165110","0.03108834","264.29133063","264.29255892","-0.00122830"
"23.00000000","Strong","1","1","39.47493940","40.00000000","1","1","4500.93530194","4500.93208021","0.00322173","0.03445016","0.02984205","267.21548798","267.21523227","0.00025571"
"24.00000000","Strong","1","1","39.56176474","40.00000000","1","1","4500.96472911","4500.96128826","0.00344085","0.03329880","0.02857005","270.13821038","270.13792499","0.00028539"
"25.00000000","Strong","1","1","39.53767378","40.00000000","1","1","4500.98337495","4500.98921291","-0.00583796","0.02929751","0.02727587","273.06175578","273.06063626","0.00111952"
"26.00000000","Strong","1","1","39.53642415","40.00000000","1","1","4501.01463136","4501.01583380","-0.00120244","0.02964292","0.02596312","275.98542809","275.98336524","0.00206285"
"27.00000000","Strong","1","1","39.57637780","40.00000000","1","1","4501.05656893","4501.04113417","0.01543476","0.03307955","0.02463544","278.90698727","278.90611108","0.00087619"
"28.00000000","Strong","1","1","39.51964738","40.00000000","1","1","4501.06670509","4501.06510095","0.00160414","0.02779486","0.02329655","281.82772158","281.82887292","-0.00115134"
"29.00000000","Strong","1","1","39.47150214","40.00000000","1","1","4501.09718588","4501.08772477","0.00946111","0.02856947","0.02195015","284.75081987","284.75164988","-0.00083002"
"30.00000000","Strong","1","1","39.58456364","40.00000000","1","1","4501.10855471","4501.10900000","-0.00044529","0.02460297","0.02060000","287.67384341","287.67444110","-0.00059770"
"31.00000000","Strong","1","1","39.54023624","40.00000000","1","1","4501.12031546","4501.12892477","-0.00860930","0.02084110","0.01924985","290.59741483","290.59724570","0.00016913"
"32.00000000","Strong","1","1","39.50245254","40.00000000","1","1","4501.14692934","4501.14750095","-0.00057161","0.02213755","0.01790345","293.52053081","293.52006279","0.00046802"
"33.00000000","Strong","1","1","39.53885530","40.00000000","1","1","4501.15543233","4501.16473417","-0.00930184","0.01804310","0.01656456","296.44263137","296.44289151","-0.00026014"
